kind,arm,clock,n_target,shape,quantised,censoring_target,rho,b,check,calibration,variant,alpha,n_replicates,n_used,n_failed,n_failed_tau_only,rejection_rate,mc_se,mean_n_events,mean_n_segments,censoring_realised,mean_n_distinct_durations,mean_induced_lag1,fail_reason
size,A_iid_weibull,in_spec,20,0.75,False,0.0,,,c1_lewis_robinson,asymptotic,,0.05,2000,2000,0,0,0.064,0.005472842040475863,20.322,1.0,0.046899915580151955,20.322,-0.050408651178798634,
size,A_iid_weibull,in_spec,20,0.75,False,0.0,,,c1_lewis_robinson,permutation,,0.05,2000,2000,0,0,0.0505,0.00489641450451246,20.322,1.0,0.046899915580151955,20.322,-0.050408651178798634,
size,A_iid_weibull,in_spec,20,0.75,False,0.0,,,c2_anderson_darling,asymptotic,,0.05,2000,2000,0,0,0.065,0.005512485827646181,20.322,1.0,0.046899915580151955,20.322,-0.050408651178798634,
size,A_iid_weibull,in_spec,20,0.75,False,0.0,,,c2_anderson_darling,permutation,,0.05,2000,2000,0,0,0.048,0.0047799581588126895,20.322,1.0,0.046899915580151955,20.322,-0.050408651178798634,
size,A_iid_weibull,in_spec,20,0.75,False,0.0,,,c5_rank_autocorr,permutation,studentized,0.05,2000,2000,0,0,0.055,0.005097793640389928,20.322,1.0,0.046899915580151955,20.322,-0.050408651178798634,
size,A_iid_weibull,in_spec,20,0.75,False,0.0,,,c5_rank_autocorr,permutation,unstudentized,0.05,2000,2000,0,0,0.0485,0.004803527349771208,20.322,1.0,0.046899915580151955,20.322,-0.050408651178798634,
size,A_iid_weibull,in_spec,20,0.75,False,0.0,,,c6_exchangeability,permutation,,0.05,2000,2000,0,0,0.049,0.0048269555622566076,20.322,1.0,0.046899915580151955,20.322,-0.050408651178798634,
size,A_iid_weibull,in_spec,20,0.75,False,0.0,,,cvm_cramer_von_mises,asymptotic,,0.05,2000,2000,0,0,0.061,0.005351588549206675,20.322,1.0,0.046899915580151955,20.322,-0.050408651178798634,
size,A_iid_weibull,in_spec,20,0.75,False,0.0,,,cvm_cramer_von_mises,permutation,,0.05,2000,2000,0,0,0.0525,0.004987171041783107,20.322,1.0,0.046899915580151955,20.322,-0.050408651178798634,
size,A_iid_weibull,in_spec,20,0.75,False,0.03,,,c1_lewis_robinson,asymptotic,,0.05,2000,1999,1,0,0.07253626813406704,0.0058012245321708775,20.613806903451724,1.0,0.04626672221450725,20.613806903451724,-0.05673598112273683,ValueError: no usable lag: segment sizes [2] give fewer than 2 within-segment pairs even at lag 1. A record of very short segments carries no ordering informati
